,datetime,diff_with_previous,id_str
0,2018-03-15,0.0,974480264977158146
1,2018-03-15,0.0,974455472630706176
2,2018-03-15,0.0,974430247457382402
3,2018-03-15,0.0,974422908624949248
4,2018-03-15,0.0,974409957817880577
5,2018-03-15,0.0,974404977845325825
6,2018-03-15,0.0,974398758107668480
7,2018-03-15,0.0,974398144082534402
8,2018-03-15,0.0,974396273150300160
9,2018-03-15,0.0,974393717003030530
10,2018-03-15,0.0,974383223164887042
11,2018-03-15,0.0,974382511345340418
12,2018-03-15,0.0,974370987662893056
13,2018-03-15,0.0,974368296018632705
14,2018-03-15,0.0,974367474685706241
15,2018-03-15,0.0,974366605256904709
16,2018-03-15,0.0,974362652821590016
17,2018-03-15,0.0,974360570320257026
18,2018-03-15,0.0,974359790800527360
19,2018-03-15,0.0,974359648622039040
20,2018-03-15,0.0,974357201409191937
21,2018-03-15,0.0,974355936193253376
22,2018-03-15,0.0,974354455176065025
23,2018-03-15,0.0,974354388805410816
24,2018-03-15,0.0,974354262355529729
25,2018-03-15,0.0,974354255317520384
26,2018-03-15,0.0,974354195246612481
27,2018-03-15,0.0,974354033862479873
28,2018-03-15,0.0,974353937125072896
29,2018-03-15,0.0,974353898105376769
30,2018-03-15,0.0,974351161833684992
31,2018-03-15,0.0,974351157974970369
32,2018-03-15,0.0,974350810271420423
33,2018-03-15,0.0,974350401968525319
34,2018-03-15,0.0,974350392455725057
35,2018-03-15,0.0,974349786718621698
36,2018-03-15,0.0,974349696788520961
37,2018-03-15,0.0,974346797991845889
38,2018-03-15,0.0,974342555495272449
39,2018-03-15,0.0,974342518971170817
40,2018-03-15,0.0,974341997283639296
41,2018-03-15,0.0,974341800763756544
42,2018-03-15,0.0,974340251819929603
43,2018-03-15,0.0,974340107514892288
44,2018-03-15,0.0,974339821337481216
45,2018-03-15,0.0,974339008754053125
46,2018-03-15,0.0,974338755682340864
47,2018-03-15,0.0,974336401243328512
48,2018-03-15,0.0,974335881317441538
49,2018-03-15,0.0,974330794717143042
50,2018-03-15,0.0,974330362217336832
51,2018-03-15,0.0,974330229832519680
52,2018-03-15,0.0,974328044436549634
53,2018-03-15,0.0,974326049868677120
54,2018-03-15,0.0,974324428178849794
55,2018-03-15,0.0,974323055043465218
56,2018-03-15,0.0,974321345986260993
57,2018-03-15,0.0,974318859409936385
58,2018-03-15,0.0,974317847248867329
